model,partition,subtask,fold,nll,accuracy,abs_error,prop_best,best,worst,aarons_metric,prop_best_spearman
s,p,a,0,-0.5862,,0.3239,0.4683,0.2115,0.2469,-2.1751,1.6121
s,p,b,0,-0.6757,,0.3643,0.2773,0.2115,0.2469,-3.3164,
s,p,a,1,-0.3689,,0.3453,0.3728,0.2122,0.2558,-2.0528,1.4708
s,p,b,1,-0.6784,,0.3776,0.2211,0.2123,0.2558,-2.8,
s,p,a,2,-0.5848,,0.3365,0.4377,0.2154,0.2512,-2.3827,1.6210
s,p,b,2,-0.7048,,0.3696,0.2852,0.2155,0.2512,-3.3165,
s,p,a,3,-0.4793,,0.342,0.4125,0.2154,0.2473,-2.9687,1.6366
s,p,b,3,-0.6907,,0.3637,0.3115,0.2154,0.2473,-3.6489,
s,p,a,4,-0.5478,,0.3289,0.43700000000000006,0.2104,0.2418,-2.7739,1.7070
s,p,b,4,-0.6803,,0.3569,0.3044,0.2105,0.2418,-3.6773,
s,s,a,0,-0.6727,,0.3215,0.4759,0.2109,0.245,-2.2434,1.5459
s,s,b,0,-0.6862,,0.3613,0.2881,0.2111,0.245,-3.4307,
s,s,a,1,-0.5948,,0.3302,0.4669,0.2154,0.2527,-2.0777,1.3914
s,s,b,1,-0.6903,,0.3736,0.2658,0.2154,0.2527,-3.2413,
s,s,a,2,-0.6271,,0.3344,0.4256,0.2124,0.2505,-2.2021,1.3575
s,s,b,2,-0.7061,,0.3672,0.2719,0.2125,0.2505,-3.0711,
s,s,a,3,-0.4824,,0.3393,0.4105,0.2135,0.2485,-2.5943,1.3963
s,s,b,3,-0.6956,,0.3656,0.2893,0.2137,0.2485,-3.3649,
s,s,a,4,-0.5691,,0.3296,0.4267,0.2095,0.2455,-2.3361,1.4094
s,s,b,4,-0.6539,,0.3639,0.2635,0.2096,0.2455,-3.2981,
s,r,a,0,-0.6584,,0.3338,0.4089,0.2098,0.2483,-2.2208,1.1406
s,r,b,0,-0.7102,,0.3651,0.2689,0.2109,0.2483,-3.123,
s,r,a,1,-0.586,,0.333,0.4049,0.2088,0.2495,-2.0516,1.1047
s,r,b,1,-0.7062,,0.3674,0.2532,0.2103,0.2495,-3.0077,
s,r,a,2,-0.6196,,0.3309,0.4044,0.2074,0.2498,-1.9127,1.0653
s,r,b,2,-0.7061,,0.3685,0.2298,0.2082,0.2498,-2.8534,
s,r,a,3,-0.5589,,0.3327,0.4172,0.2102,0.2487,-2.1818,1.1228
s,r,b,3,-0.6966,,0.3666,0.2676,0.2116,0.2487,-3.1779,
s,r,a,4,-0.6343,,0.3273,0.4256,0.2079,0.247,-2.0537,1.1088
s,r,b,4,-0.7154,,0.3634,0.2672,0.2097,0.247,-3.1206,
