model,partition,subtask,fold,nll,accuracy,abs_error,prop_best,worst,best,aarons_metric
s,s,a,1,0.9276,0.5433,,0.8631,0.5912,0.6295,-1.2507
s,s,b,1,0.9143,0.5913,,0.9386,0.5912,0.63,0.0026
s,s,a,2,0.8454,0.6071,,0.9037,0.4921,0.6718,0.64
s,s,b,2,0.9072,0.497,,0.7397,0.4921,0.6719,0.0273
s,s,a,3,0.8021,0.6241,,0.9165,0.4933,0.681,0.6969
s,s,b,3,0.9122,0.4949,,0.7364,0.4933,0.6721,0.0089
s,s,a,4,0.7273,0.6881,,0.942,0.5223,0.7305,0.7963
s,s,b,4,0.9136,0.5246,,0.7374,0.5223,0.7114,0.0122
s,r,a,0,0.7583,0.6548,,0.9697,0.5473,0.6753,0.8398
s,r,b,0,0.8911,0.5457,,0.8037,0.5473,0.679,-0.0121
s,r,a,1,0.7454,0.6647,,0.9868,0.5514,0.6736,0.9272
s,r,b,1,0.8919,0.5582,,0.8209,0.5514,0.68,0.0529
s,r,a,2,0.8083,0.6358,,0.9589,0.5545,0.6631,0.7486
s,r,b,2,0.9287,0.558,,0.8301,0.5545,0.6722,0.0297
s,r,a,3,0.752,0.661,,0.9902,0.5555,0.6675,0.942
s,r,b,3,0.8862,0.5566,,0.8272,0.5555,0.6729,0.0094
s,r,a,4,0.7402,0.6681,,1.0023,0.5545,0.6666,1.0134
s,r,b,4,0.8839,0.5597,,0.8322,0.5545,0.6726,0.044
